path,org_class,bin_label
/content/OCT-SRGAN/data/train/NORMAL/NORMAL6_013.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL3_058.tif,NORMAL,0
/content/OCT-SRGAN/data/test/NORMAL/NORMAL13_094.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL5_083.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_035.tif,NORMAL,0
/content/OCT-SRGAN/data/test/DME/DME13_055.tif,DME,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL6_040.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME6_08.tif,DME,1
/content/OCT-SRGAN/data/test/NORMAL/NORMAL14_014.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DRUSEN/AMD5_016.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL7_096.tif,NORMAL,0
/content/OCT-SRGAN/data/test/DRUSEN/AMD11_011.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL7_017.tif,NORMAL,0
/content/OCT-SRGAN/data/test/NORMAL/NORMAL13_025.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL9_031.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME4_096.tif,DME,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_049.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME7_054.tif,DME,1
/content/OCT-SRGAN/data/test/DRUSEN/AMD13_010.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL7_020.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL7_034.tif,NORMAL,0
/content/OCT-SRGAN/data/test/DRUSEN/AMD15_030.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL2_030.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME3_067.tif,DME,1
/content/OCT-SRGAN/data/test/DRUSEN/AMD11_017.tif,DRUSEN,1
/content/OCT-SRGAN/data/test/NORMAL/NORMAL15_056.tif,NORMAL,0
/content/OCT-SRGAN/data/test/DRUSEN/AMD14_020.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/DME/DME10_02.tif,DME,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL5_096.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME4_031.tif,DME,1
/content/OCT-SRGAN/data/test/DRUSEN/AMD13_034.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/DME/DME9_055.tif,DME,1
/content/OCT-SRGAN/data/train/DRUSEN/AMD10_066.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/DME/DME1_083.tif,DME,1
/content/OCT-SRGAN/data/train/DRUSEN/AMD4_011.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL5_044.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL5_034.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_070.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL3_063.tif,NORMAL,0
/content/OCT-SRGAN/data/test/NORMAL/NORMAL12_055.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_069.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_05.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME5_021.tif,DME,1
/content/OCT-SRGAN/data/test/NORMAL/NORMAL14_069.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_036.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME2_073.tif,DME,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL2_012.tif,NORMAL,0
/content/OCT-SRGAN/data/test/DRUSEN/AMD11_07.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/DME/DME5_018.tif,DME,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL5_049.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL5_040.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME4_016.tif,DME,1
/content/OCT-SRGAN/data/test/NORMAL/NORMAL14_093.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME4_052.tif,DME,1
/content/OCT-SRGAN/data/train/DRUSEN/AMD6_021.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL6_031.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_053.tif,NORMAL,0
/content/OCT-SRGAN/data/test/DRUSEN/AMD14_048.tif,DRUSEN,1
/content/OCT-SRGAN/data/test/DME/DME14_049.tif,DME,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL7_033.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_087.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DRUSEN/AMD5_04.tif,DRUSEN,1
/content/OCT-SRGAN/data/test/DRUSEN/AMD15_04.tif,DRUSEN,1
/content/OCT-SRGAN/data/test/NORMAL/NORMAL14_083.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME1_028.tif,DME,1
/content/OCT-SRGAN/data/train/DRUSEN/AMD10_043.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/DME/DME8_038.tif,DME,1
/content/OCT-SRGAN/data/train/DME/DME6_025.tif,DME,1
/content/OCT-SRGAN/data/test/NORMAL/NORMAL12_089.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL8_036.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL8_014.tif,NORMAL,0
/content/OCT-SRGAN/data/test/NORMAL/NORMAL15_06.tif,NORMAL,0
/content/OCT-SRGAN/data/test/NORMAL/NORMAL12_068.tif,NORMAL,0
/content/OCT-SRGAN/data/test/NORMAL/NORMAL14_049.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME5_027.tif,DME,1
/content/OCT-SRGAN/data/test/DME/DME12_056.tif,DME,1
/content/OCT-SRGAN/data/train/DRUSEN/AMD8_019.tif,DRUSEN,1
/content/OCT-SRGAN/data/test/NORMAL/NORMAL12_091.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DRUSEN/AMD9_028.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL10_065.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME8_02.tif,DME,1
/content/OCT-SRGAN/data/train/DME/DME6_054.tif,DME,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL4_015.tif,NORMAL,0
/content/OCT-SRGAN/data/test/NORMAL/NORMAL11_019.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL8_097.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DRUSEN/AMD6_029.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/DRUSEN/AMD7_020.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL9_096.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DRUSEN/AMD9_033.tif,DRUSEN,1
/content/OCT-SRGAN/data/train/NORMAL/NORMAL1_05.tif,NORMAL,0
/content/OCT-SRGAN/data/test/NORMAL/NORMAL14_066.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL7_060.tif,NORMAL,0
/content/OCT-SRGAN/data/train/NORMAL/NORMAL1_022.tif,NORMAL,0
/content/OCT-SRGAN/data/train/DME/DME4_017.tif,DME,1
/content/OCT-SRGAN/data/test/DME/DME14_045.tif,DME,1
